Episode,Agent_A,Agent_B,Agent_C,Agent_D,Steps_Per_Episode
0,2.2058765607152697,-25.614035087719298,23.730880599899226,6.5432098765432105,61
1,29.435986467236468,6.8405459030459035,-55.225735955469766,-18.676156359979892,65
2,-20.77471548059783,5.6138795844678215,9.42098333634129,-12.375299434995227,79
3,-5.128205128205129,14.273902715751229,-35.1745707860553,-7.390844329715958,69
4,-15.37037037037037,-39.22455244820979,-34.17169742377543,-9.325492921194158,84
5,2.0546737213403894,-14.021650326797385,15.400595461558693,1.5723270440251573,60
6,2.192982456140351,17.438271604938272,11.004140786749483,3.002982410309997,45
7,6.462029256146904,0.6825429298833554,28.47222222222222,16.68679337300104,53
8,-6.563109161793372,-22.863247863247864,7.604166666666667,-4.687587285626503,54
9,2.241799645390072,2.610686459141096,-73.27038300722512,1.4774204028589997,65
10,0.4412907354083828,3.7878787878787885,-3.6441287942956464,-49.535992759676965,66
11,-77.88222319705716,-5.7407407407407405,-35.27476870695533,19.649813593468092,95
12,-30.632140024154538,7.8398718289427745,5.390442890442891,-16.60493827160494,84
13,17.02485380116959,16.85185185185185,11.866632171789002,8.086419753086421,45
14,-1.057876510462717,9.00315783498308,11.082427536231885,-56.88002059103145,100
15,1.1016607196573247,-4.711538461538462,12.380952380952381,21.613756613756614,42
16,-5.438379556026614,-4.371199411849816,-2.0695782609296725,-6.737542997623642,70
17,7.506590165607807,10.101888067989764,-0.06720203607238218,-40.917644916205916,83
18,6.111111111111111,10.0,16.891251998411143,9.483500717360116,44
19,-0.5367629786234431,5.0,5.368870895186685,2.687034860947904,46
20,11.018518518518519,9.031154760844094,-2.0786897142224787,15.459235307739366,60
21,-0.1480852669307673,12.525307183536329,-12.549019607843137,6.764069264069265,52
22,21.003557385643894,11.839945280437757,-32.39583333333333,-4.202753549001477,59
23,4.961484593837536,-11.666666666666666,11.725152938765953,-54.18188896034726,73
24,22.218013468013467,1.862549362549363,15.740740740740742,4.557772850455777,45
25,-72.25871768471566,6.770833333333335,-0.7375478927203059,7.252252252252252,87
26,5.434782608695652,11.892392223775643,-1.3334927466921727,-0.7342657342657335,72
27,10.300191379883337,12.252252252252251,18.182261208577,-44.51375143845981,61
28,1.9502314814814818,-42.340005750121506,-12.307117933562576,7.525252525252526,76
29,-1.159611992945326,2.7533577533577533,-5.5451902964799045,-11.93697384486858,66
30,9.445164030524491,4.01511572980633,-27.972740195340105,3.91164994425864,81
31,-14.907407407407407,11.611568943197248,9.166666666666668,18.061481617322436,46
32,12.19471592189645,6.766917293233083,11.482512370670266,11.476050830889541,48
33,0.0,-42.83141907017087,9.594690587108072,6.6261708161070985,80
34,-5.523872679045093,-9.053640779983489,11.572420634920636,-24.391025641025642,54
35,-4.724025974025973,-13.047760301795897,10.118054463140325,9.16225956065544,85
36,-24.12931800943317,13.787878787878789,-3.626346204408038,-55.22786157044471,89
37,21.713554987212277,-22.115502866186855,5.0747863247863245,15.348012486170381,56
38,13.787878787878789,6.5476190476190474,6.021505376344088,-0.2992366537258171,40
39,-2.152672347060445,8.333333333333334,-3.6507936507936503,10.778070560679257,52
40,-0.5139514514514509,7.789855072463769,10.571975916803503,-1.9135802469135799,43
41,-8.531105915559696,0.43726299540253066,6.709608158883523,15.15873015873016,62
42,2.000311226717759,-14.130792047458712,-16.82586052747792,-5.481190531746648,96
43,-7.023809523809524,7.450980392156863,11.572420634920636,-11.325642003559622,45
44,7.863006876164771,7.436510124682167,14.051091250602557,-27.168057385448687,60
45,13.968253968253968,7.873563218390805,3.7645609318996422,0.0,35
46,13.537925737592033,-2.7457699239856153,19.72027972027972,-1.417090945392832,55
47,3.859649122807018,-5.178571428571428,-7.020813990765459,-0.2818989768675304,64
48,27.367061183985342,4.260709268281642,-9.642857142857142,-13.831908831908834,59
49,15.684374411554941,5.708716235032025,-74.37877224254933,14.077060931899641,65
50,3.5690519401953167,6.984126984126984,10.26021651021651,-4.9308755760368665,44
51,-10.098039215686274,0.08375847523134317,10.506250242702167,-41.96071071071071,56
52,-18.50836332507823,16.27963306534735,-7.975801431683786,-62.75385425437076,103
53,0.7989215268908756,2.6876986551909163,-67.25176969157152,-20.18970189701897,82
54,-5.476949950634159,13.298682687856843,-5.128205128205129,4.3772163120567384,59
55,3.9365556032222706,11.22735507246377,10.228758169934641,16.984126984126984,42
56,3.086419753086421,14.901960784313726,0.8706339427163248,-3.1884057971014492,49
57,21.973008416777414,0.7582919531448957,-7.999851455733809,-12.746913580246913,55
58,21.148440931049628,1.5193156488065114,22.613461547892584,0.0,53
59,-14.139327109657984,45.73716702439834,11.212152001625688,4.5915435139573075,62
60,0.7843137254901968,3.007054673721342,5.833842083842084,-12.787942316244202,55
61,23.856382978723403,-29.24028915628378,8.417508417508419,8.472222222222221,47
62,38.59274837300531,-76.02215004081516,-7.126436781609195,19.62992292260585,77
63,-10.9347442680776,12.192982456140351,6.937984496124031,-6.3768115942028984,44
64,7.427213309566252,8.093218346713275,1.8300526808751432,10.0,52
65,14.810298102981031,-3.177387914230019,12.38095238095238,8.859479892088588,43
66,-0.09803921568627416,7.525252525252526,4.086655681483268,15.0,43
67,-4.853242570633874,-27.462491734754828,0.0,3.0040990755276478,70
68,-0.32321790819455387,6.435772551769496,-17.1175315912158,-2.549019607843137,69
69,6.076388888888889,20.171321053673996,11.61764705882353,5.318491568491568,45
70,2.8735632183908044,15.10446721231035,8.99394952026531,-10.005847259535683,59
71,10.464288482191296,-35.4761734302239,16.436781609195403,2.2522522522522523,58
72,-0.5620155038759673,11.044398435702785,-17.123102541884748,9.169272461955389,54
73,-0.9935087746572719,1.2680942397923536,-1.3768115942028984,-4.172217207323831,76
74,16.171419685466276,14.757609540218235,-13.107412505231977,-62.14048637705814,97
75,-13.26388888888889,-13.245842542051127,-2.257798853193588,13.898100440220006,75
76,-5.593177583540815,-16.782637091362282,-24.00035603466976,-13.613436440687053,78
77,5.59947299077734,-24.348551536374032,-24.561493877414275,6.323949408404733,68
78,12.215373236878616,1.4935064935064934,-32.84859945758115,-16.949353456935974,66
79,10.456349206349206,24.41919191919192,1.009857523502296,0.8146591970121406,49
80,25.084612956953382,21.99054722773888,5.614030672170209,3.3346672002134192,55
81,-44.086799971972965,-22.890252823091203,-5.8724317580636765,-30.420884428037194,111
82,-9.124559341950647,2.4074074074074083,10.0,21.105006105006105,39
83,9.873084227922938,8.787878787878789,18.334096459096457,10.0,49
84,17.63888888888889,7.925962581696061,-79.56276972784873,23.78787878787879,73
85,8.086419753086421,8.831923890063425,18.55263157894737,2.14493479245643,45
86,4.567067067067067,17.142857142857146,5.087145969498909,8.76320811804683,48
87,4.004576659038902,-10.678024083196497,23.30372523686477,6.691919191919193,48
88,11.82359764236664,18.134984480093177,2.2522522522522523,17.083333333333332,54
89,0.6026913075125506,1.7762593252789345,13.978214381181502,-4.3910256410256405,50
90,38.21027746005417,9.132193864288412,14.84006734006734,11.523569023569024,63
91,-24.556945191392522,-29.980536508488854,1.4692982456140355,-26.626984126984127,88
92,21.572327044025158,17.314814814814817,-3.0026285876669503,-47.26961739861636,53
93,10.257464049462982,17.25225225225225,-23.525618580765638,7.136752136752136,48
94,13.174603174603174,11.889787361485475,-13.987113007560337,2.154213036565978,63
95,-16.71809470722514,15.787037037037036,-103.45647103870787,11.354309046128957,84
96,-0.3315509586720431,17.61081341277825,-0.9127885259026987,-0.07322735432201011,85
97,12.252252252252251,8.146997929606625,7.503192848020435,13.299844321349699,43
98,21.00414078674948,12.301587301587302,7.192982456140351,8.189615044453756,39
99,-11.896649462562142,-7.18044263775971,-68.79167880085276,12.086670344891605,91
100,-5.098039215686274,5.457380457380457,-6.212121212121211,31.96035990153637,42
101,-9.920573253906586,7.688172043010753,-12.18998977344063,11.691919191919194,61
102,10.834115605620985,-8.777187236235626,2.9988634413005,6.811594202898551,68
103,-12.744461349939053,-45.7806548179219,8.277009728622632,-51.50203418174805,101
104,4.467038809144077,-16.52777777777778,4.716241638795985,-31.458926875593544,64
105,-10.024915024915025,1.5708101422387148,5.958291956305859,-6.539822184983475,55
106,-22.580442976893877,-71.03031922886439,6.828399122807019,10.478401887070618,75
107,-36.729931732580035,2.3022052073120385,8.138849315319906,-16.653897452820807,87
108,12.904040404040405,-0.6140350877192979,-48.498080866231206,3.0959752321981426,63
109,-0.032807713728766785,-0.19258518653574308,-7.049792389659723,-43.66112758100587,91
110,9.003053534303536,-37.416311936244625,-33.715124736087475,-6.489246180880135,88
111,13.472222222222221,-10.816498856705504,6.215092097445039,7.380952380952381,55
112,19.751702545820194,-15.971285747500579,23.70124393843559,0.024404249210451923,55
113,7.873563218390805,-7.474747474747475,8.623188405797102,3.333333333333334,38
114,-11.248375568551007,-2.7000661375661377,-12.174004954177368,1.2500000000000013,54
115,5.70693899294305,9.748430060607564,5.194592988710635,13.720238095238095,56
116,2.2337962962962976,9.81108836692919,24.980359147025816,9.166666666666668,44
117,11.893939393939394,8.968253968253968,-19.14973755490997,-4.821058858325938,53
118,13.176498642600336,-8.697451578903236,6.523569023569024,-7.222222222222221,61
119,-15.309009921562517,1.6176470588235308,1.3783425717015887,-4.376790265111898,83
120,4.038422919973826,-30.34992784992785,-22.140412005623816,-9.052216316084381,67
121,-34.32500466677553,-15.0,5.0,-59.65731453871871,64
122,-44.45447910965152,5.278077816903803,12.525252525252526,23.736192332683558,54
123,21.141552511415526,2.604166666666667,3.40047345359095,-100.422030765168,73
124,-92.63732516334932,4.686379846978399,7.98941798941799,13.015235619982086,77
125,0.030030030030030908,10.357142857142858,9.198086240769168,21.85185185185185,45
126,11.599378881987578,7.962962962962964,-6.943309097644388,-10.883688785974412,63
127,0.26134998869561876,-34.47924801234727,-74.07770863837302,-69.09751142638008,120
128,-9.058027201409553,-16.622574955908288,5.778311570994499,28.767277752856582,65
129,17.21473637301811,3.269230769230769,21.92996932548016,7.444326303975428,57
130,5.364587029546047,-8.043365494345885,7.138729475530049,12.11680040676097,62
131,15.875440658049353,11.572420634920636,-0.37037037037037024,-1.7948717948717952,37
132,15.542328042328045,8.623188405797102,5.0,8.309566250742723,35
133,8.520114942528735,13.586691086691086,-1.5274697091512301,15.447948910638242,67
134,-5.328552236446972,-11.67230451502635,-32.18451315504559,3.3962278961367334,93
135,-26.69134466882303,-8.703703703703702,8.349366682700017,-10.806710390043724,76
136,9.708350116810255,10.81415877282813,16.842266543282033,-28.718788694969533,83
137,-13.876617879277456,-13.292483660130719,-23.32990460541532,-20.516499282639884,83
